question_id,role,skill,difficulty,question_type,question_text,options,correct_answer,max_score,expected_time_sec
ML_Q1,Machine Learning Engineer,Python,easy,mcq,What is the output of the default mutable argument behavior in Python functions?,"['[1] then [2]', '[1] then [1,2]', 'Error', 'None']","['[1] then [1,2]']",1,45
ML_Q2,Machine Learning Engineer,Python,medium,mcq,Which Python feature is most useful for handling large datasets efficiently?,"['List comprehensions', 'Generators', 'Recursion', 'Lambda']",['Generators'],2,30
ML_Q3,Machine Learning Engineer,Python,hard,checklist,Which help reduce Python memory usage?,"['Using generators', 'Deleting unused variables', 'Using globals', 'Deep copying objects']","['Using generators', 'Deleting unused variables']",3,90
ML_Q4,Machine Learning Engineer,Machine Learning,easy,mcq,Which algorithm is best suited for binary classification?,"['Linear Regression', 'K-Means', 'Logistic Regression', 'PCA']",['Logistic Regression'],1,30
ML_Q5,Machine Learning Engineer,Machine Learning,medium,mcq,What does cross-validation help estimate?,"['Training error', 'Test error stability', 'Data leakage', 'Feature importance']",['Test error stability'],2,45
ML_Q6,Machine Learning Engineer,Machine Learning,hard,checklist,Which actions help reduce overfitting?,"['Regularization', 'Collect more data', 'Increase complexity', 'Train longer without validation']","['Regularization', 'Collect more data']",3,90
ML_Q7,Machine Learning Engineer,Deep Learning,easy,mcq,Which activation function is most commonly used in hidden layers?,"['Sigmoid', 'Tanh', 'ReLU', 'Softmax']",['ReLU'],1,30
ML_Q8,Machine Learning Engineer,Deep Learning,medium,mcq,What problem does batch normalization address?,"['Exploding gradients', 'Internal covariate shift', 'Class imbalance', 'Overfitting']",['Internal covariate shift'],2,45
ML_Q9,Machine Learning Engineer,Deep Learning,hard,checklist,Which techniques help stabilize deep neural network training?,"['Gradient clipping', 'Proper weight init', 'Learning rate scheduling', 'Removing activations']","['Gradient clipping', 'Proper weight init', 'Learning rate scheduling']",3,90
ML_Q10,Machine Learning Engineer,System Design / Deployment,easy,mcq,What is the main purpose of a model API in production?,"['Train models', 'Serve predictions', 'Store data', 'Visualize metrics']",['Serve predictions'],1,30
ML_Q11,Machine Learning Engineer,System Design / Deployment,medium,mcq,Which metric is most important post-deployment?,"['Training accuracy', 'Model size', 'Prediction latency', 'Number of features']",['Prediction latency'],2,45
ML_Q12,Machine Learning Engineer,System Design / Deployment,hard,checklist,Which issues commonly occur in deployed ML systems?,"['Data drift', 'Concept drift', 'Dependency conflicts', 'Perfect stability']","['Data drift', 'Concept drift', 'Dependency conflicts']",3,90
ML_Q13,Machine Learning Engineer,Data Handling,easy,mcq,Which format is best for large-scale structured data storage?,"['CSV', 'JSON', 'Parquet', 'TXT']",['Parquet'],1,30
ML_Q14,Machine Learning Engineer,Data Handling,medium,mcq,What is the main benefit of a feature store?,"['Faster training', 'Consistent features', 'Visualization', 'Auto tuning']",['Consistent features'],2,45
ML_Q15,Machine Learning Engineer,Data Handling,hard,checklist,Which practices improve data pipeline reliability?,"['Data validation', 'Logging', 'Dataset versioning', 'Manual copying']","['Data validation', 'Logging', 'Dataset versioning']",3,90
